Program Code,Program Title,Semester,Required Credit,Study Pattern,Subject Code,GE Elective,GE/DS Elective,DS Elective,Cantonese/Putonghua,Eng Level,Total DS,Total GE,Bio Level,Chem Level,Phy Level
8C112-AS,Associate of Science,1,66,II,LCH1046,,,,Putonghua,>2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1069,,,,Putonghua,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1116,,,,Putonghua,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SHDH1072,,,,Putonghua,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH2041,,,,Putonghua,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1106,,,,Putonghua,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1109,,,,Putonghua,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,LCH1046,,,,Putonghua,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,66,II,SEHH1069,,,,Putonghua,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1116,,,,Putonghua,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SHDH1072,,,,Putonghua,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1108,,,,Putonghua,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1107,,,,Putonghua,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1109,,,,Putonghua,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,LCH1046,,,,Putonghua,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1069,,,,Putonghua,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1116,,,,Putonghua,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SHDH1072,,,,Putonghua,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH2041,,,,Putonghua,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1107,,,,Putonghua,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1109,,,,Putonghua,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,LCH1046,,,,Putonghua,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1069,,,,Putonghua,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1116,,,,Putonghua,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SHDH1072,,,,Putonghua,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1108,,,,Putonghua,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1109,,,,Putonghua,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1110,,,,Putonghua,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,LCH1046,,,,Putonghua,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,2,71,II,SEHH2031,,2,,Cantonese,2,6,4,<2,<2,<2
8C112-AS,Associate of Science,2,71,II,SEHH1109,,2,,Cantonese,2,6,4,<2,<2,<2
8C112-AS,Associate of Science,2,71,II,SEHH1110,,2,,Cantonese,2,6,4,<2,<2,<2
8C112-AS,Associate of Science,2,71,II,LCH1067,,2,,Cantonese,2,6,4,<2,<2,<2
8C112-AS,Associate of Science,2,68,II,SEHH2031,,2,,Cantonese,2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,2,68,II,SEHH1109,,2,,Cantonese,2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,2,68,II,SEHH1110,,2,,Cantonese,2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,2,68,II,LCH1067,,2,,Cantonese,2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,2,68,II,SEHH2031,,2,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,2,68,II,SEHH1110,,2,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,2,68,II,SEHH2041,,2,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,2,68,II,LCH1067,,2,,Cantonese,2,6,4,<2,>=2,<2
